timestamp,speed
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.32
20260623-150748,3.65
20260623-150748,3.65
20260623-150748,3.60
20260623-150748,3.58
20260623-150748,3.58
20260623-150748,3.55
20260623-150748,3.53
20260623-150748,3.41
20260623-150748,3.40
20260623-150748,3.37
20260623-150748,3.37
20260623-150748,3.36
20260623-150748,3.34
20260623-150748,3.31
20260623-150748,3.31
20260623-150748,3.30
20260623-150748,3.29
20260623-150748,3.26
20260623-150748,3.24
20260623-150748,3.24
20260623-150748,3.23
20260623-150748,3.21
20260623-150748,3.17
20260623-150748,3.17
20260623-150748,3.16
20260623-150748,3.14
20260623-150748,3.13
20260623-150748,3.13
20260623-150748,3.11
20260623-150748,3.09
20260623-150748,3.07
20260623-150748,3.07
20260623-150748,3.05
20260623-150748,3.03
20260623-150748,3.03
20260623-150748,3.01
20260623-150748,2.99
20260623-150748,2.97
20260623-150748,2.97
20260623-150748,2.96
20260623-150748,2.94
20260623-150748,2.94
20260623-150748,2.92
20260623-150748,2.90
20260623-150748,2.90
20260623-150748,2.88
20260623-150748,2.86
20260623-150748,2.84
20260623-150748,2.84
20260623-150748,2.82
20260623-150748,2.81
20260623-150748,2.81
20260623-150748,2.79
20260623-150748,2.77
20260623-150748,2.77
20260623-150748,2.75
20260623-150748,2.74
20260623-150748,2.74
20260623-150748,2.72
20260623-150748,2.72
20260623-150748,2.57
20260623-150748,2.57
20260623-150748,2.15
20260623-150748,2.15
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,1.57
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
20260623-150748,0.00
