timestamp,pressure_mpl,pressure_bme,diff_pressure,v_wind_est
2026-06-21 21:58:03.507,991.38,990.90,-0.48,nan
2026-06-21 21:58:04.139,991.39,990.91,-0.48,nan
2026-06-21 21:58:04.762,991.41,990.92,-0.49,nan
2026-06-21 21:58:05.385,991.44,990.94,-0.51,nan
2026-06-21 21:58:06.013,991.43,990.94,-0.49,nan
2026-06-21 21:58:06.645,991.43,990.94,-0.49,nan
2026-06-21 21:58:07.278,991.41,990.95,-0.46,nan
2026-06-21 21:58:07.904,991.42,990.95,-0.48,nan
2026-06-21 21:58:08.536,991.38,990.95,-0.44,nan
2026-06-21 21:58:09.169,991.43,990.95,-0.48,nan
2026-06-21 21:58:09.802,991.41,990.96,-0.45,nan
2026-06-21 21:58:10.434,991.41,990.95,-0.46,nan
2026-06-21 21:58:11.067,991.38,990.95,-0.43,nan
2026-06-21 21:58:11.703,991.40,990.95,-0.44,nan
2026-06-21 21:58:12.335,991.39,990.95,-0.44,nan
2026-06-21 21:58:12.961,991.41,990.96,-0.45,nan
2026-06-21 21:58:13.594,991.37,990.96,-0.41,nan
2026-06-21 21:58:14.228,991.40,990.96,-0.45,nan
2026-06-21 21:58:14.860,991.40,990.97,-0.43,nan
2026-06-21 21:58:15.492,991.40,990.97,-0.43,nan
2026-06-21 21:58:16.126,991.41,990.97,-0.44,nan
2026-06-21 21:58:16.758,991.40,990.97,-0.43,nan
2026-06-21 21:58:17.390,991.41,990.97,-0.44,nan
2026-06-21 21:58:18.023,991.40,990.96,-0.44,nan
2026-06-21 21:58:18.656,991.39,990.96,-0.43,nan
2026-06-21 21:58:19.288,991.39,990.96,-0.44,nan
2026-06-21 21:58:19.921,991.39,990.96,-0.43,nan
2026-06-21 21:58:20.556,991.35,990.95,-0.40,nan
2026-06-21 21:58:21.188,991.40,990.94,-0.46,nan
2026-06-21 21:58:21.818,991.38,990.95,-0.43,nan
2026-06-21 21:58:22.441,991.41,990.95,-0.46,nan
2026-06-21 21:58:23.065,991.38,990.96,-0.42,nan
2026-06-21 21:58:23.687,991.42,990.95,-0.47,nan
